Iteration;Period;Output;Value;Type
"4";"6";OSUPPL;0.00000;Total
"4";"6";VOLINVENT;185978.96121;Total
"9";"6";OSUPREC;303.05703;Total
"9";"6";OVOLREC;38999.50269;Total
"9";"6";OSUPPL;0.00000;Total
"9";"6";VOLINVENT;185978.96121;Total
"4";"7";OSUPREC;302.33370;Total
"4";"7";OVOLREC;38490.25387;Total
"4";"7";OSUPPL;100.69370;Total
"4";"7";VOLINVENT;175874.35735;Total
"9";"7";OSUPREC;302.33370;Total
"9";"7";OVOLREC;38490.25387;Total
"9";"7";OSUPPL;100.69370;Total
"9";"7";VOLINVENT;175874.35735;Total
"4";"8";OSUPREC;316.15517;Total
"4";"8";OVOLREC;38277.97280;Total
"4";"8";OSUPPL;100.94630;Total
"4";"8";VOLINVENT;168946.75886;Total
"9";"8";OSUPREC;316.15517;Total
"9";"8";OVOLREC;38277.97280;Total
"9";"8";OSUPPL;100.94630;Total
"9";"8";VOLINVENT;168946.75886;Total
"4";"9";OSUPREC;273.56089;Total
"4";"9";OVOLREC;38144.22365;Total
"4";"9";OSUPPL;0.00000;Total
"4";"9";VOLINVENT;162124.99399;Total
"9";"9";OSUPREC;273.56089;Total
"9";"9";OVOLREC;38144.22365;Total
"9";"9";OSUPPL;0.00000;Total
"9";"9";VOLINVENT;162124.99399;Total
"4";"10";OSUPREC;269.15219;Total
"4";"10";OVOLREC;37717.16835;Total
"4";"10";OSUPPL;0.00000;Total
"4";"10";VOLINVENT;151955.37552;Total
"9";"10";OSUPREC;269.15219;Total
"9";"10";OVOLREC;37717.16835;Total
"9";"10";OSUPPL;0.00000;Total
"9";"10";VOLINVENT;151955.37552;Total
"4";"11";OSUPREC;357.25238;Total
"4";"11";OVOLREC;37219.48697;Total
"4";"11";OSUPPL;0.00000;Total
"4";"11";VOLINVENT;142825.39188;Total
"9";"11";OSUPREC;357.25238;Total
"9";"11";OVOLREC;37219.48697;Total
"9";"11";OSUPPL;0.00000;Total
"9";"11";VOLINVENT;142825.39188;Total
"4";"12";OSUPREC;351.04016;Total
"4";"12";OVOLREC;37052.27433;Total
"4";"12";OSUPPL;0.00000;Total
"4";"12";VOLINVENT;134349.68547;Total
"9";"12";OSUPREC;351.04016;Total
"9";"12";OVOLREC;37052.27433;Total
"9";"12";OSUPPL;0.00000;Total
"9";"12";VOLINVENT;134349.68547;Total
"4";"13";OSUPREC;203.23292;Total
"4";"13";OVOLREC;36857.77219;Total
"4";"13";OSUPPL;201.64000;Total
"4";"13";VOLINVENT;130181.89868;Total
"9";"13";OSUPREC;203.23292;Total
"9";"13";OVOLREC;36857.77219;Total
"9";"13";OSUPPL;201.64000;Total
"9";"13";VOLINVENT;130181.89868;Total
"4";"14";OSUPREC;327.03500;Total
"4";"14";OVOLREC;36749.16055;Total
"4";"14";OSUPPL;0.00000;Total
"4";"14";VOLINVENT;126657.46463;Total
"9";"14";OSUPREC;327.03500;Total
"9";"14";OVOLREC;36749.16055;Total
"9";"14";OSUPPL;0.00000;Total
"9";"14";VOLINVENT;126657.46463;Total
