CONSTRAINT;OUTPUT;PERIOD;PERCENTAGE
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;2;-1.4527217335885014
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;3;-1.4527217335883553
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;4;-1.452721733588404
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;5;-1.452721733588179
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;6;-1.4527217335882132
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;7;1.355762198562542
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;8;2.6526383562638367
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;9;1.288678873954443
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;10;0.9030919957550083
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;11;0.431335308779048
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;12;1.5158927571684868
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;13;1.515892757168381
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;14;2.4850504054046816
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;15;3.061843867402835
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;16;1.411177118858962
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;17;-0.27650653331708197
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;18;-0.9911386648735128
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;19;0.223087074099043
OSUPREALREGAPAR <=1009.000000   1;OVOLTOTREC;20;0.22308707409900522
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;1;8.188309268236984e-14
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;2;-1.4527217335884688
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;3;-1.4527217335883227
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;4;-1.4527217335884202
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;5;-1.4527217335882605
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;6;-1.4527217335882294
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;7;1.3557621985625885
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;8;2.6526383562641076
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;9;1.288678873954443
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;10;0.9030919957550745
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;11;0.431335308779048
OSUPREALREGAREG <=7090.000000   1;OVOLTOTREC;12;1.515892757168286
